"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","13.95","13.86","13.96","13.69","23.55M","0.50%"
"04/06/2026","13.88","13.95","14.02","13.86","18.24M","-0.29%"
"04/02/2026","13.92","13.82","14.23","13.75","20.66M","-1.83%"
"04/01/2026","14.18","14.01","14.34","13.99","44.67M","1.43%"
"03/31/2026","13.98","13.51","13.98","13.42","37.60M","4.64%"
"03/30/2026","13.36","13.36","13.47","13.24","21.86M","0.75%"
"03/27/2026","13.26","13.39","13.39","13.17","25.81M","-1.27%"
"03/26/2026","13.43","13.48","13.64","13.38","30.88M","-1.90%"
"03/25/2026","13.69","13.69","13.84","13.61","36.00M","1.41%"
"03/24/2026","13.50","13.51","13.53","13.26","25.59M","-0.52%"
"03/23/2026","13.57","13.40","13.67","13.35","27.09M","3.59%"
"03/20/2026","13.10","13.27","13.32","12.99","64.95M","-1.53%"
"03/19/2026","13.30","13.01","13.40","12.94","28.48M","0.37%"
"03/18/2026","13.25","13.23","13.47","13.16","42.43M","-0.15%"
"03/17/2026","13.27","13.26","13.45","13.12","39.99M","0.07%"
"03/16/2026","13.26","13.38","13.42","13.21","16.69M","1.67%"
"03/13/2026","13.05","13.21","13.42","13.02","17.19M","-2.13%"
"03/12/2026","13.33","13.33","13.37","13.12","26.67M","-2.13%"
"03/11/2026","13.62","13.46","13.78","13.40","20.27M","0.07%"
"03/10/2026","13.61","13.61","13.77","13.31","51.03M","1.26%"
"03/09/2026","13.44","13.37","13.47","13.11","45.14M","0.90%"
"03/06/2026","13.32","13.35","13.41","13.16","19.37M","-0.67%"
"03/05/2026","13.41","13.84","13.84","13.35","29.47M","-3.32%"
"03/04/2026","13.87","13.84","13.95","13.63","24.90M","1.99%"
"03/03/2026","13.60","13.51","13.70","13.25","36.86M","-3.82%"
"03/02/2026","14.14","13.97","14.19","13.93","22.40M","-0.74%"
"02/27/2026","14.25","14.53","14.58","14.23","36.34M","-2.59%"
"02/26/2026","14.63","14.60","14.75","14.47","24.70M","0.21%"
"02/25/2026","14.60","14.88","14.91","14.47","31.86M","-1.48%"
"02/24/2026","14.81","14.65","14.88","14.58","47.08M","1.71%"
"02/23/2026","14.57","14.92","14.98","14.56","28.97M","-3.35%"
"02/20/2026","15.07","14.72","15.12","14.68","29.96M","1.82%"
"02/19/2026","14.80","14.61","14.89","14.56","20.75M","1.44%"
"02/18/2026","14.59","14.62","14.72","14.47","31.79M","-0.07%"
"02/13/2026","14.60","14.66","14.66","14.21","24.26M","-0.48%"
"02/12/2026","14.67","14.87","14.92","14.59","48.32M","-2.20%"
"02/11/2026","15.00","14.77","15.04","14.70","34.83M","2.60%"
"02/10/2026","14.62","14.59","14.83","14.55","37.80M","0.21%"
"02/09/2026","14.59","14.21","14.59","14.15","36.03M","2.89%"
"02/06/2026","14.18","13.85","14.25","13.68","41.50M","2.46%"
"02/05/2026","13.84","13.71","13.95","13.63","29.14M","1.91%"
"02/04/2026","13.58","13.92","13.94","13.39","46.66M","-3.07%"
"02/03/2026","14.01","14.00","14.20","13.94","34.89M","1.08%"
"02/02/2026","13.86","13.76","13.94","13.69","26.32M","1.46%"
"01/30/2026","13.66","13.97","13.97","13.54","36.27M","-1.59%"
"01/29/2026","13.88","14.10","14.20","13.75","38.94M","-1.14%"
"01/28/2026","14.04","13.92","14.15","13.86","39.42M","1.37%"
"01/27/2026","13.85","13.68","14.03","13.67","41.19M","2.67%"
"01/26/2026","13.49","13.36","13.57","13.24","36.50M","0.97%"
"01/23/2026","13.36","13.23","13.46","13.17","46.21M","1.29%"
"01/22/2026","13.19","12.76","13.32","12.73","67.56M","3.69%"
"01/21/2026","12.72","12.18","12.74","12.15","57.12M","5.04%"
"01/20/2026","12.11","11.96","12.13","11.87","18.78M","1.09%"
"01/19/2026","11.98","12.00","12.07","11.96","10.09M","-0.42%"
"01/16/2026","12.03","12.21","12.21","11.97","41.76M","-1.23%"
"01/15/2026","12.18","12.05","12.22","12.03","37.77M","1.25%"
"01/14/2026","12.03","12.03","12.05","11.92","25.48M","0.59%"
"01/13/2026","11.96","11.96","12.06","11.91","33.78M","-0.33%"
"01/12/2026","12.00","12.09","12.10","12.00","13.69M","-0.91%"
"01/09/2026","12.11","12.09","12.20","12.06","29.72M","0.33%"
"01/08/2026","12.07","11.79","12.07","11.77","40.02M","2.55%"
"01/07/2026","11.77","11.91","11.96","11.71","19.66M","-1.59%"
"01/06/2026","11.96","12.00","12.09","11.94","16.46M","0.42%"
"01/05/2026","11.91","11.67","12.00","11.64","35.86M","2.41%"
"01/02/2026","11.63","11.75","11.80","11.63","18.65M","-0.43%"
"12/30/2025","11.68","11.64","11.74","11.63","16.67M","0.78%"
"12/29/2025","11.59","11.61","11.62","11.53","13.17M","-0.09%"
"12/26/2025","11.60","11.51","11.62","11.49","17.14M","0.09%"
"12/23/2025","11.59","11.50","11.64","11.45","12.53M","1.13%"
"12/22/2025","11.46","11.50","11.51","11.38","18.78M","-0.09%"
"12/19/2025","11.47","11.40","11.63","11.39","46.90M","0.86%"
"12/18/2025","11.37","11.29","11.40","11.29","19.86M","0.61%"
"12/17/2025","11.30","11.38","11.40","11.19","37.78M","-0.60%"
"12/16/2025","11.37","11.72","11.74","11.37","32.25M","-3.33%"
"12/15/2025","11.76","11.67","11.76","11.61","17.24M","1.78%"
"12/12/2025","11.56","11.53","11.62","11.43","29.32M","0.77%"
"12/11/2025","11.47","11.37","11.55","11.35","27.57M","0.78%"
"12/10/2025","11.38","11.33","11.44","11.24","52.47M","0.38%"
"12/09/2025","11.34","11.37","11.42","11.14","43.53M","-0.48%"
"12/08/2025","11.39","11.51","11.56","11.33","40.91M","0.49%"
"12/05/2025","11.34","11.84","11.94","11.25","47.96M","-4.26%"
"12/04/2025","11.84","11.58","11.84","11.54","42.00M","2.79%"
"12/03/2025","11.52","11.54","11.58","11.42","31.51M","0.16%"
"12/02/2025","11.50","11.31","11.50","11.28","43.77M","2.45%"
"12/01/2025","11.23","11.42","11.42","11.17","63.77M","-0.54%"
"11/28/2025","11.29","11.12","11.35","11.03","55.36M","2.49%"
"11/27/2025","11.02","11.06","11.07","10.98","11.49M","-0.58%"
"11/26/2025","11.08","10.85","11.12","10.85","26.69M","2.46%"
"11/25/2025","10.81","10.83","10.89","10.75","24.78M","0.00%"
"11/24/2025","10.81","10.78","10.90","10.75","27.44M","0.25%"
"11/21/2025","10.79","10.80","10.82","10.70","17.04M","0.26%"
"11/19/2025","10.76","10.81","10.85","10.74","20.45M","-0.76%"
"11/18/2025","10.84","10.85","10.91","10.77","26.25M","-0.67%"
"11/17/2025","10.92","10.95","10.97","10.82","21.34M","-0.33%"
"11/14/2025","10.95","10.94","11.02","10.88","19.24M","0.17%"
"11/13/2025","10.93","10.87","11.03","10.85","39.47M","0.59%"
"11/12/2025","10.87","11.13","11.14","10.83","42.95M","-2.30%"
"11/11/2025","11.13","10.90","11.15","10.89","53.62M","2.70%"
"11/10/2025","10.83","10.84","10.88","10.80","32.80M","0.17%"
"11/07/2025","10.81","10.83","10.84","10.69","21.60M","-0.25%"
"11/06/2025","10.84","10.81","10.93","10.77","29.91M","0.34%"
"11/05/2025","10.81","10.76","10.81","10.57","44.16M","0.51%"
"11/04/2025","10.75","10.77","10.84","10.70","20.59M","-0.34%"
"11/03/2025","10.79","10.72","10.81","10.69","24.01M","1.12%"
"10/31/2025","10.67","10.59","10.68","10.58","29.11M","0.95%"
"10/30/2025","10.57","10.55","10.65","10.51","19.92M","-0.43%"
"10/29/2025","10.61","10.45","10.63","10.41","31.70M","2.02%"
"10/28/2025","10.40","10.37","10.41","10.34","15.54M","0.35%"
"10/27/2025","10.37","10.41","10.46","10.36","15.65M","0.35%"
"10/24/2025","10.33","10.35","10.42","10.30","11.45M","0.36%"
"10/23/2025","10.29","10.33","10.37","10.22","11.68M","0.00%"
"10/22/2025","10.29","10.19","10.29","10.17","21.23M","1.08%"
"10/21/2025","10.18","10.27","10.33","10.18","17.06M","-0.98%"
"10/20/2025","10.28","10.08","10.33","10.07","30.05M","2.09%"
"10/17/2025","10.07","10.00","10.12","9.96","22.41M","0.18%"
"10/16/2025","10.05","10.04","10.16","9.96","13.91M","-0.27%"
"10/15/2025","10.08","10.01","10.14","9.96","27.13M","0.00%"
"10/14/2025","10.08","10.05","10.21","10.04","29.98M","0.09%"
"10/13/2025","10.07","10.05","10.12","10.03","10.33M","0.46%"
"10/10/2025","10.03","10.12","10.12","9.96","17.98M","-0.27%"
"10/09/2025","10.05","10.15","10.18","10.04","13.83M","-0.45%"
"10/08/2025","10.10","10.07","10.16","10.05","24.29M","0.73%"
"10/07/2025","10.03","10.21","10.22","10.03","50.50M","-1.97%"
"10/06/2025","10.23","10.31","10.32","10.17","20.66M","-0.45%"
"10/03/2025","10.27","10.22","10.29","10.18","23.25M","0.54%"
"10/02/2025","10.22","10.35","10.42","10.19","20.40M","-1.24%"
"10/01/2025","10.35","10.55","10.60","10.31","20.04M","-1.48%"
"09/30/2025","10.50","10.58","10.66","10.48","41.28M","0.09%"
"09/29/2025","10.49","10.52","10.63","10.49","19.93M","0.70%"
"09/26/2025","10.42","10.38","10.44","10.35","9.51M","0.80%"
"09/25/2025","10.34","10.38","10.45","10.30","14.65M","-0.88%"
"09/24/2025","10.43","10.48","10.51","10.37","13.48M","-0.52%"
"09/23/2025","10.48","10.36","10.56","10.32","15.43M","1.33%"
"09/22/2025","10.35","10.39","10.41","10.26","18.31M","-1.05%"
"09/19/2025","10.46","10.41","10.48","10.38","40.90M","0.53%"
"09/18/2025","10.40","10.39","10.41","10.30","19.63M","0.09%"
"09/17/2025","10.39","10.19","10.45","10.19","30.22M","1.89%"
"09/16/2025","10.20","10.27","10.29","10.13","14.76M","-0.09%"
"09/15/2025","10.21","10.11","10.27","10.05","18.83M","1.36%"
"09/12/2025","10.07","10.09","10.13","10.03","15.72M","-0.81%"
"09/11/2025","10.16","10.16","10.37","10.15","20.58M","0.09%"
"09/10/2025","10.15","10.13","10.26","10.11","11.60M","0.18%"
"09/09/2025","10.13","10.21","10.23","10.06","18.77M","-0.36%"
"09/08/2025","10.16","10.20","10.22","10.05","18.84M","-0.45%"
"09/05/2025","10.21","10.18","10.34","10.15","16.68M","1.09%"
"09/04/2025","10.10","10.05","10.16","9.96","14.78M","0.55%"
"09/03/2025","10.05","10.16","10.20","10.01","25.75M","-1.17%"
"09/02/2025","10.16","10.21","10.25","10.10","20.99M","-1.60%"
"09/01/2025","10.33","10.28","10.40","10.26","14.77M","0.75%"
"08/29/2025","10.25","10.24","10.33","10.23","18.69M","0.36%"
"08/28/2025","10.22","10.14","10.38","10.11","27.51M","1.27%"
"08/27/2025","10.09","9.91","10.09","9.84","20.62M","1.47%"
"08/26/2025","9.94","9.98","10.01","9.84","16.09M","-0.46%"
"08/25/2025","9.99","10.04","10.10","9.99","14.61M","-0.36%"
"08/22/2025","10.02","9.72","10.05","9.67","44.45M","3.49%"
"08/21/2025","9.69","9.64","9.71","9.59","19.28M","-0.09%"
"08/20/2025","9.70","9.62","9.74","9.59","14.86M","0.28%"
"08/19/2025","9.67","9.87","9.87","9.59","24.63M","-3.06%"
"08/18/2025","9.97","9.89","10.10","9.89","36.29M","0.63%"
"08/15/2025","9.91","9.88","9.96","9.79","83.69M","0.09%"
"08/14/2025","9.90","9.83","10.01","9.78","30.02M","0.00%"
"08/13/2025","9.90","9.98","10.02","9.89","18.95M","-1.17%"
"08/12/2025","10.02","9.87","10.08","9.86","19.04M","2.20%"
"08/11/2025","9.80","9.78","9.83","9.74","14.53M","0.00%"
"08/08/2025","9.80","9.76","9.83","9.70","14.10M","0.37%"
"08/07/2025","9.77","9.67","9.79","9.60","15.09M","1.49%"
"08/06/2025","9.62","9.61","9.84","9.60","26.82M","1.71%"
"08/05/2025","9.46","9.33","9.52","9.29","15.32M","1.06%"
"08/04/2025","9.36","9.37","9.42","9.30","15.81M","0.77%"
"08/01/2025","9.29","9.39","9.43","9.20","16.85M","-0.10%"
"07/31/2025","9.30","9.24","9.32","9.18","26.39M","-0.48%"
"07/30/2025","9.34","9.20","9.42","9.13","20.34M","1.17%"
"07/29/2025","9.24","9.22","9.28","9.16","10.33M","0.29%"
"07/28/2025","9.21","9.38","9.42","9.14","16.85M","-1.82%"
"07/25/2025","9.38","9.35","9.43","9.34","9.41M","0.38%"
"07/24/2025","9.34","9.42","9.42","9.31","14.28M","-1.33%"
"07/23/2025","9.47","9.34","9.51","9.32","11.20M","1.35%"
"07/22/2025","9.34","9.49","9.52","9.31","16.71M","-1.52%"
"07/21/2025","9.49","9.42","9.52","9.37","14.73M","1.05%"
"07/18/2025","9.39","9.47","9.57","9.34","40.50M","-1.97%"
"07/17/2025","9.58","9.42","9.64","9.40","26.75M","1.62%"
"07/16/2025","9.42","9.41","9.45","9.33","21.66M","0.58%"
"07/15/2025","9.37","9.41","9.45","9.30","17.96M","0.10%"
"07/14/2025","9.36","9.38","9.42","9.29","39.29M","-0.57%"
"07/11/2025","9.42","9.44","9.45","9.32","31.41M","-0.66%"
"07/10/2025","9.48","9.52","9.53","9.35","42.39M","-1.40%"
"07/09/2025","9.61","9.80","9.83","9.60","19.70M","-2.01%"
"07/08/2025","9.81","9.82","9.83","9.73","13.98M","-0.27%"
"07/07/2025","9.84","9.98","10.00","9.82","17.09M","-1.53%"
"07/04/2025","9.99","9.97","10.02","9.94","5.83M","0.09%"
"07/03/2025","9.98","9.78","10.01","9.78","16.57M","2.11%"
"07/02/2025","9.78","9.88","9.93","9.69","18.73M","-1.09%"
"07/01/2025","9.88","9.86","9.90","9.82","14.52M","0.46%"
"06/30/2025","9.84","9.57","9.89","9.57","30.25M","2.24%"
"06/27/2025","9.62","9.57","9.68","9.56","16.57M","-0.28%"
"06/26/2025","9.65","9.66","9.73","9.62","22.27M","0.00%"
"06/25/2025","9.65","9.70","9.73","9.61","28.95M","-1.38%"
"06/24/2025","9.78","9.59","9.84","9.56","29.60M","2.16%"
"06/23/2025","9.58","9.67","9.67","9.50","28.61M","-0.85%"
"06/20/2025","9.66","9.65","9.69","9.54","41.28M","-0.64%"
"06/18/2025","9.72","9.71","9.78","9.63","24.62M","-0.18%"
"06/17/2025","9.74","9.74","9.74","9.66","24.86M","0.46%"
"06/16/2025","9.70","9.70","9.78","9.67","24.04M","1.31%"
"06/13/2025","9.57","9.53","9.61","9.48","17.33M","-1.02%"
"06/12/2025","9.67","9.60","9.72","9.56","25.35M","0.19%"
"06/11/2025","9.65","9.53","9.68","9.48","51.11M","0.93%"
"06/10/2025","9.56","9.72","9.77","9.54","33.83M","-0.74%"
"06/09/2025","9.63","9.64","9.69","9.48","19.07M","-0.28%"
"06/06/2025","9.66","9.68","9.72","9.61","23.47M","-0.18%"
"06/05/2025","9.68","9.78","9.78","9.61","15.14M","-1.10%"
"06/04/2025","9.78","9.86","9.89","9.72","16.18M","-0.27%"
"06/03/2025","9.81","9.78","9.87","9.75","28.23M","-0.18%"
"06/02/2025","9.83","9.94","9.96","9.72","25.58M","-0.42%"
"05/30/2025","9.87","9.89","9.93","9.75","50.07M","-0.18%"
"05/29/2025","9.89","9.90","10.00","9.83","24.09M","-0.72%"
"05/28/2025","9.96","10.06","10.08","9.90","30.01M","-1.06%"
"05/27/2025","10.07","10.08","10.16","10.00","26.07M","0.89%"
"05/26/2025","9.98","9.92","10.07","9.89","10.68M","0.45%"
"05/23/2025","9.93","9.71","9.93","9.61","40.40M","0.81%"
"05/22/2025","9.85","9.98","10.02","9.83","37.05M","-1.25%"
"05/21/2025","9.98","10.09","10.11","9.85","25.74M","-1.50%"
"05/20/2025","10.13","10.13","10.16","10.02","22.29M","0.18%"
"05/19/2025","10.11","9.97","10.19","9.95","31.83M","1.07%"
"05/16/2025","10.00","9.92","10.01","9.84","42.83M","0.72%"
"05/15/2025","9.93","9.85","9.93","9.79","38.80M","1.27%"
"05/14/2025","9.81","9.75","9.84","9.73","23.53M","0.27%"
"05/13/2025","9.78","9.68","9.83","9.68","49.25M","1.57%"
"05/12/2025","9.63","9.91","9.92","9.62","33.10M","-2.26%"
"05/09/2025","9.85","9.53","9.89","9.51","62.14M","4.25%"
"05/08/2025","9.45","9.51","9.67","9.44","46.28M","0.57%"
"05/07/2025","9.40","9.35","9.41","9.30","26.69M","0.86%"
"05/06/2025","9.32","9.34","9.35","9.24","29.30M","-0.29%"
